#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_nld+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_nld+is_latn,#adm2+name+alt2+i_nld+is_latn,#adm1+name+i_nld+is_latn,#adm1+code+v_pcode,#country+name+i_nld+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:740:2:101,101,Brownsweg,SR0101,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:102,102,Centrum,SR0102,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:103,103,Klaaskreek,SR0103,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:104,104,Kwakoegron,SR0104,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:105,105,Marechallkreek,SR0105,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:106,106,Sarakreek,SR0106,,,,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:201,201,Alkmaar,SR0201,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:202,202,Bakkie,SR0202,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:203,203,Margaretha,SR0203,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:204,204,Meerzorg,SR0204,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:205,205,Nieuw Amsterdam,SR0205,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:206,206,Tamanredjo,SR0206,,,,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:301,301,Johanna Maria,SR0301,,,,Coronie,SR03,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:302,302,Totness,SR0302,,,,Coronie,SR03,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:303,303,Welgelegen,SR0303,,,,Coronie,SR03,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:401,401,Albina,SR0401,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:402,402,Galibi,SR0402,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:403,403,Moengo,SR0403,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:404,404,Moengo Tapu,SR0404,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:405,405,Patamacca,SR0405,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:406,406,Wanhatti,SR0406,,,,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:501,501,Groot Henar,SR0501,,,,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:502,502,Nieuw Nickerie,SR0502,,,,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:503,503,Oostelijke Polders,SR0503,,,,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:504,504,Wageningen,SR0504,,,,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:505,505,Westelijke Polders,SR0505,,,,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:601,601,Bigi Poika,SR0601,,,,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:602,602,Carolina,SR0602,,,,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:603,603,Para Noord,SR0603,,,,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:604,604,Para Oost,SR0604,,,,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:605,605,Para Zuid,SR0605,,,,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:701,701,Beekhuizen,SR0701,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:702,702,Blauwgrond,SR0702,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:703,703,Centrum,SR0703,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:704,704,Flora,SR0704,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:705,705,Latour,SR0705,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:706,706,Livorno,SR0706,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:707,707,Munder,SR0707,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:708,708,Pontbuiten,SR0708,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:709,709,Rainville,SR0709,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:710,710,Tammenga,SR0710,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:711,711,Weg Naar Zee,SR0711,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:712,712,Welgelegen,SR0712,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:801,801,Calcutta,SR0801,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:802,802,Groningen,SR0802,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:803,803,Jarikaba,SR0803,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:804,804,Kampong Baroe,SR0804,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:805,805,Tijgerkreek,SR0805,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:806,806,Wayambo,SR0806,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:901,901,Boven Coppename,SR0901,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:902,902,Boven Saramacca,SR0902,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:903,903,Boven Suriname,SR0903,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:904,904,Coeroenie,SR0904,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:905,905,Kabalebo,SR0905,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:906,906,Tapanahony,SR0906,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:1001,1001,De Nieuwe Grond,SR1001,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:1002,1002,Domburg,SR1002,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:1003,1003,Houttuin,SR1003,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:1004,1004,Kwarasan,SR1004,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:1005,1005,Kwatta,SR1005,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:1006,1006,Lelydorp,SR1006,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:2:1007,1007,Saramacca Polder,SR1007,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
