admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Baranovichi,BY001001,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Bereza,BY001002,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Brest,BY001003,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Drogichin,BY001004,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Gancevichi,BY001005,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Ivacevichi,BY001006,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Ivanovo,BY001007,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Kamenec,BY001008,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Kobrin,BY001009,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Ljahovichi,BY001010,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Luninec,BY001011,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Malorita,BY001012,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Pinsk,BY001013,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Pruzhany,BY001014,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Stolin,BY001015,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Zhabinka,BY001016,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
Bragin,BY002001,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Buda-Koshelevo,BY002002,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Chechersk,BY002003,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Dobrush,BY002004,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Elsk,BY002005,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Gomel,BY002006,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Hojniki,BY002007,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Kalinkovichi,BY002008,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Korma,BY002009,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Lelchitsy,BY002010,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Loev,BY002011,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Mozyr,BY002012,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Narovlja,BY002013,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Oktjabrsky,BY002014,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Petrikov,BY002015,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Rechitsa,BY002016,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Rogachev,BY002017,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Svetlogorsk,BY002018,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Vetka,BY002019,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Zhitkovichi,BY002020,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Zhlobin,BY002021,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
Berestovica,BY003001,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Djatlovo,BY003002,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Grodno,BY003003,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Ive,BY003004,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Korelichi,BY003005,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Lida,BY003006,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Mosty,BY003007,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Novogrudok,BY003008,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Oshmjany,BY003009,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Ostrovec,BY003010,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Schuchin,BY003011,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Slonim,BY003012,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Smorgon,BY003013,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Svisloch,BY003014,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Volkovysk,BY003015,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Voronovo,BY003016,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Zel'va,BY003017,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
Berezino,BY004001,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Borisov,BY004002,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Cherven,BY004003,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Dzerzhinsk,BY004004,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Kletsk,BY004005,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Kopyl,BY004006,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Krupki,BY004007,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Logojsk,BY004008,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Lyuban,BY004009,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Minsk,BY004010,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Mjadel,BY004011,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Molodechno,BY004012,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Nesvizh,BY004013,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Puhovichi,BY004014,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Slutsk,BY004015,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Smolevichi,BY004016,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Soligorsk,BY004017,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
St.Dorogi,BY004018,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Stolbtsy,BY004019,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Uzda,BY004020,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Vilejka,BY004021,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Volozhin,BY004022,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
Minsk City,BY005001,,,,Minsk City,BY005,Belarus,BY,2019-07-30,2019-07-31,
Belynichi,BY006001,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Bobrujsk,BY006002,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Byhov,BY006003,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Chausy,BY006004,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Cherikov,BY006005,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Dribin,BY006006,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Glusk,BY006007,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Gorki,BY006008,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Hotimsk,BY006009,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Kirovsk,BY006010,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Klichev,BY006011,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Klimovichi,BY006012,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Kostyukovichi,BY006013,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Krasnopole,BY006014,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Krichev,BY006015,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Krugloe,BY006016,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Mogilev,BY006017,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Mstislav,BY006018,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Osipovichi,BY006019,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Shklov,BY006020,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Slavgorod,BY006021,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
Beshenkovichi,BY007001,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Braslav,BY007002,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Chashniki,BY007003,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Dokshitsy,BY007004,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Dubrovno,BY007005,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Glubokoe,BY007006,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Gorodok,BY007007,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Lepel,BY007008,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Liozno,BY007009,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Miory,BY007010,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Orsha,BY007011,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Polotsk,BY007012,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Postavy,BY007013,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Rossony,BY007014,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Senno,BY007015,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Sharkovschina,BY007016,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Shumilino,BY007017,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Tolochin,BY007018,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Ushachi,BY007019,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Verhnedvinsk,BY007020,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
Vitebsk,BY007021,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
